,posture,x,y,speed,traitement,breed,temperature,time,200002,200004,200011,200013,200014,204926,204927,204938,204945,204946,num_nb,degree,close,bet,pr,204946==False AND bet>=0.06,204938==True AND bet>=0.06,200011==True AND 204946==False,204946==False AND pr>=0.11,200002==False AND bet>=0.06,204946==False AND num_nb: [3.0:4.0[,204946==False AND degree: [0.33:0.44[,204938==False AND num_nb: [3.0:4.0[,204938==False AND degree: [0.33:0.44[,204938==False AND 204946==False,200014==False AND y>=132.23,pr: [0.07:0.08[ AND y>=132.23,pr: [0.07:0.08[ AND speed: [0.80:1.92[,bet: [0.01:0.02[ AND y>=132.23,pr: [0.07:0.08[ AND temperature<28.50,200004==False AND temperature: [29.0:29.50[	,speed>=19.89,speed>=19.89 AND traitement==1.0,breed==0.0 AND speed>=19.89,200002==False AND speed>=19.89,speed: [4.28:19.89[,speed: [4.28:19.89[ AND traitement==1.0	,breed==0.0 AND speed: [4.28:19.89[	,200002==False AND speed: [4.28:19.89[	,204927==True
0,4.0,11.978012030606198,70.49687417734421,0.0,1.0,0.0,29.0,2020-06-24 08:30:00,False,True,True,True,False,True,False,True,False,True,6.0,0.75,0.8,0.11904761904761901,0.13379176115922486,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,3.0,88.95949053284141,134.882618606614,9.04729285923469,1.0,0.0,29.0,2020-06-24 09:00:00,False,False,True,True,False,True,True,True,True,True,7.0,0.7777777777777777,0.8181818181818182,0.052777777777777764,0.10801139443332138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
2,5.0,80.45131578991979,125.843261048596,3.07295453055335,1.0,0.0,29.0,2020-06-24 09:30:00,False,True,True,True,True,True,True,True,True,True,9.0,1.0,1.0,0.07314814814814814,0.13747898426666283,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3,4.0,9.49299688144292,69.2913186251165,1.2183993072854098,1.0,0.0,29.0,2020-06-24 10:00:00,False,False,True,True,False,False,True,True,False,True,5.0,0.5555555555555556,0.6923076923076923,0.04351851851851852,0.08534524041274866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
4,5.0,42.2560373306704,134.66028492463698,9.000453854345789,1.0,0.0,29.0,2020-06-24 10:30:00,False,True,True,True,True,True,True,True,True,True,9.0,1.0,1.0,0.10079365079365078,0.1464250376065309,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
5,4.0,142.581934234236,70.4930613488485,1.8666665601448,1.0,0.0,29.0,2020-06-24 11:00:00,False,False,False,True,False,True,False,False,True,False,3.0,0.3333333333333333,0.6,0.007936507936507936,0.06611799892581413,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6,5.0,-11.194448139732401,65.2787928192118,9.31121586726727,1.0,0.0,29.0,2020-06-24 11:30:00,False,True,True,True,False,True,False,False,False,True,5.0,0.5555555555555556,0.6923076923076923,0.027777777777777776,0.08611073319555972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
7,5.0,152.132688667365,64.2657299687091,25.419033489399702,1.0,0.0,29.0,2020-06-24 12:00:00,False,True,False,True,True,True,False,True,False,False,5.0,0.5555555555555556,0.6923076923076923,0.012566137566137564,0.08295941108893404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2.0,125.20006114438101,66.5077499822684,0.0,1.0,0.0,29.0,2020-06-24 12:30:00,False,True,False,True,True,False,False,True,False,True,5.0,0.5555555555555556,0.6923076923076923,0.024338624338624337,0.08776178957585071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9,1.0,29.0716974409689,66.3026458741078,7.33573524670627,1.0,0.0,29.0,2020-06-24 13:00:00,False,True,True,False,True,True,True,False,False,False,5.0,0.5555555555555556,0.6923076923076923,0.00810185185185185,0.08704266648128652,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
